fit,upr,lwr
8.77117633,8.77117633,8.77117633
12.69513001,12.69513001,12.69513001
17.68809361,17.68809361,17.68809361
18.51094832,18.51094832,18.51094832
18.21864479,18.21864479,18.21864479
16.04741749,16.04741749,16.04741749
11.92003201,11.92003201,11.92003201
9.061573303,9.061573303,9.061573303
8.407310185,8.407310185,8.407310185
8.805535988,8.805535988,8.805535988
8.564275696,8.564275696,8.564275696
8.788877216,8.788877216,8.788877216
11.19966981,11.19966981,11.19966981
10.00116389,10.00116389,10.00116389
7.709468068,7.709468068,7.709468068
5.237555746,5.237555746,5.237555746
12.49030046,12.49030046,12.49030046
12.65572529,12.65572529,12.65572529
15.60232434,15.60232434,15.60232434
13.54663486,13.54663486,13.54663486
15.69855541,15.69855541,15.69855541
16.81176508,16.81176508,16.81176508
19.01536992,19.01536992,19.01536992
15.33965298,15.33965298,15.33965298
16.38159673,16.38159673,16.38159673
11.76922464,11.76922464,11.76922464
12.89888303,12.89888303,12.89888303
14.07976948,14.07976948,14.07976948
14.28615854,14.28615854,14.28615854
14.08239513,14.08239513,14.08239513
12.98813431,12.98813431,12.98813431
13.44075178,13.44075178,13.44075178
10.75039225,10.75039225,10.75039225
8.424359556,8.424359556,8.424359556
4.550589667,4.550589667,4.550589667
5.678404709,5.678404709,5.678404709
5.297950881,5.297950881,5.297950881
10.5796002,10.5796002,10.5796002
10.69690467,10.69690467,10.69690467
9.781842514,9.781842514,9.781842514
6.740266712,6.740266712,6.740266712
5.884815582,5.884815582,5.884815582
4.721859883,4.721859883,4.721859883
4.255377544,4.255377544,4.255377544
5.262434899,5.262434899,5.262434899
5.576664249,5.576664249,5.576664249
6.583538377,6.583538377,6.583538377
7.195552909,7.195552909,7.195552909
6.627197768,6.627197768,6.627197768
5.707748634,5.707748634,5.707748634
5.679389848,5.679389848,5.679389848
5.99251372,5.99251372,5.99251372
7.336531442,7.336531442,7.336531442
8.574374228,8.574374228,8.574374228
8.121207184,8.121207184,8.121207184
7.49242002,7.49242002,7.49242002
5.201681769,5.201681769,5.201681769
5.642213959,5.642213959,5.642213959
5.185272449,5.185272449,5.185272449
6.586460238,6.586460238,6.586460238
8.855272737,8.855272737,8.855272737
8.066217804,8.066217804,8.066217804
8.522492595,8.522492595,8.522492595
8.444575648,8.444575648,8.444575648
7.755593339,7.755593339,7.755593339
6.027542564,6.027542564,6.027542564
8.180982995,8.180982995,8.180982995
8.342499492,8.342499492,8.342499492
9.419418307,9.419418307,9.419418307
10.28801836,10.28801836,10.28801836
12.71527401,12.71527401,12.71527401
10.26088199,10.26088199,10.26088199
10.59463858,10.59463858,10.59463858
12.12497318,12.12497318,12.12497318
13.88392226,13.88392226,13.88392226
16.78653434,16.78653434,16.78653434
17.09884218,17.09884218,17.09884218
16.72337672,16.72337672,16.72337672
16.3351153,16.3351153,16.3351153
17.43976114,17.43976114,17.43976114
18.07968643,18.07968643,18.07968643
17.21369743,17.21369743,17.21369743
14.37587899,14.37587899,14.37587899
18.32740044,18.32740044,18.32740044
16.83740105,16.83740105,16.83740105
14.70510142,14.70510142,14.70510142
13.84878233,13.84878233,13.84878233
12.19103455,12.19103455,12.19103455
13.73864047,13.73864047,13.73864047
14.78549464,14.78549464,14.78549464
14.94318909,14.94318909,14.94318909
14.47923283,14.47923283,14.47923283
14.31582972,14.31582972,14.31582972
15.05645891,15.05645891,15.05645891
15.75386636,15.75386636,15.75386636
12.41696964,12.41696964,12.41696964
15.64591723,15.64591723,15.64591723
17.71632865,17.71632865,17.71632865
17.18615099,17.18615099,17.18615099
17.15705962,17.15705962,17.15705962
15.3766478,15.3766478,15.3766478
16.21756561,16.21756561,16.21756561
19.32516114,19.32516114,19.32516114
16.7116364,16.7116364,16.7116364
17.12676274,17.12676274,17.12676274
15.599422,15.599422,15.599422
16.30753799,16.30753799,16.30753799
17.59700645,17.59700645,17.59700645
17.10490404,17.10490404,17.10490404
14.32637925,14.32637925,14.32637925
12.70962125,12.70962125,12.70962125
17.22313638,17.22313638,17.22313638
18.1663609,18.1663609,18.1663609
18.6880358,18.6880358,18.6880358
14.92287511,14.92287511,14.92287511
17.38609139,17.38609139,17.38609139
18.48532003,18.48532003,18.48532003
20.21853875,20.21853875,20.21853875
18.6718155,18.6718155,18.6718155
17.38020372,17.38020372,17.38020372
16.09454608,16.09454608,16.09454608
16.30438421,16.30438421,16.30438421
18.56911917,18.56911917,18.56911917
13.51813891,13.51813891,13.51813891
11.53260542,11.53260542,11.53260542
11.40900302,11.40900302,11.40900302
12.95176964,12.95176964,12.95176964
10.65629892,10.65629892,10.65629892
8.750233764,8.750233764,8.750233764
10.15245496,10.15245496,10.15245496
10.58765283,10.58765283,10.58765283
11.17079615,11.17079615,11.17079615
12.77877899,12.77877899,12.77877899
13.03691481,13.03691481,13.03691481
12.03845691,12.03845691,12.03845691
