YoY
8.68
7.60
7.17
7.62
7.15
6.98
6.27
6.51
6.33
6.48
5.53
5.16
4.82
4.60
5.11
5.92
6.47
6.83
7.20
6.67
6.27
6.22
6.18
6.40
7.32
7.15
8.81
8.12
7.40
7.42
7.84
8.33
9.06
17.89
18.38
17.11
17.03
17.92
15.74
15.40
15.60
15.53
15.15
14.90
14.55
6.29
5.27
6.60
6.26
6.30
6.52
6.29
6.01
5.77
6.06
6.51
6.95
6.88
6.71
6.59
7.36
7.40
8.17
8.96
10.38
11.03
11.90
11.85
12.14
11.77
11.68
11.06
9.17
8.60
7.92
7.31
6.04
3.65
2.71
2.75
2.83
2.57
2.41
2.78
3.71
3.80
3.43
3.91
4.17
5.06
6.23
6.45
5.81
5.67
6.34
6.96
7.01
6.83
6.64
6.15
5.97
5.53
4.59
4.76
4.59
4.41
4.13
3.78
3.64
3.48
3.88
4.42
4.35
4.33
4.22
4.09
3.81
4.11
3.80
3.65
3.84
4.60
5.02
4.86
4.90
5.41
7.98
8.18
7.90
7.93
8.07
8.08
8.22
7.75
7.32
7.25
7.32
6.70
4.53
3.99
4.53
4.83
6.23
8.36
6.96
6.29
6.38
6.79
7.15
7.26
7.26
7.18
6.83
6.25
4.89
3.35
4.14
4.42
4.45
3.60
3.33
3.45
3.21
2.79
3.07
3.31
3.58
3.02
